A1 should do:
 Day:0 Time:8:02 seletced:M1 ,time when there:Day:0 Time:8:03 time to travel:2
 Connection(from:Base to:M1): Direct connection distance:273.0m
Day:0 Time:10:10 Completed on M3 %1.01
Day:0 Time:10:11 Completed on M3 %1.01
Day:0 Time:10:12 Completed on M3 %1.02
Day:0 Time:10:13 Completed on M3 %1.01
Day:0 Time:10:14 Completed on M3 %1.01
Day:0 Time:10:15 Completed on M3 %1.02
Day:0 Time:10:16 Completed on M3 %1.02
Day:0 Time:10:17 Completed on M3 %1.01
Day:0 Time:10:18 Completed on M3 %1.01
Day:0 Time:10:19 Completed on M3 %1.01
Day:0 Time:10:20 Completed on M3 %1.02
Day:0 Time:10:21 Completed on M3 %1.01
Day:0 Time:10:22 Completed on M3 %1.02
Day:0 Time:10:23 Completed on M3 %1.02
Day:0 Time:10:24 Completed on M3 %1.01
Day:0 Time:10:25 Completed on M3 %1.02
Day:0 Time:10:26 Completed on M3 %1.01
Day:0 Time:10:27 Completed on M3 %1.02
Day:0 Time:10:28 Completed on M3 %1.02
Day:0 Time:10:29 Completed on M3 %1.01
Day:0 Time:10:30 Completed on M3 %1.01
Day:0 Time:10:31 Completed on M3 %1.02
Day:0 Time:10:32 Completed on M3 %1.01
Day:0 Time:10:33 Completed on M3 %1.01
Day:0 Time:10:34 Completed on M3 %1.02
Day:0 Time:10:35 Completed on M3 %1.02
Day:0 Time:10:36 Completed on M3 %1.01
Day:0 Time:10:37 Completed on M3 %1.02
Day:0 Time:10:38 Completed on M3 %1.01
Day:0 Time:10:39 Completed on M3 %1.02
Day:0 Time:10:40 Completed on M3 %1.02
Day:0 Time:10:41 Completed on M3 %1.02
Day:0 Time:10:42 Completed on M3 %1.02
Day:0 Time:10:43 Completed on M3 %1.01
Day:0 Time:10:44 Completed on M3 %1.02
Day:0 Time:10:45 Completed on M3 %1.02
Day:0 Time:10:46 Completed on M3 %1.02
Day:0 Time:10:47 Completed on M3 %1.01
Day:0 Time:10:48 Completed on M3 %1.02
Day:0 Time:10:49 Completed on M3 %1.02
Day:0 Time:10:50 Completed on M3 %1.02
Day:0 Time:10:51 Completed on M3 %1.01
Day:0 Time:10:52 Completed on M3 %1.02
Day:0 Time:10:53 Completed on M3 %1.02
Day:0 Time:10:54 Completed on M3 %1.02
Day:0 Time:10:55 Completed on M3 %1.02
Day:0 Time:10:56 Completed on M3 %1.02
Day:0 Time:10:57 Completed on M3 %1.02
Day:0 Time:10:58 Completed on M3 %1.02
Day:0 Time:10:59 Completed on M3 %1.02
Day:0 Time:11:00 Completed on M3 %1.01
Day:0 Time:11:01 Completed on M3 %1.02
Day:0 Time:11:02 Completed on M3 %1.02
Day:0 Time:11:03 Completed on M3 %1.01
Day:0 Time:11:04 Completed on M3 %1.01
Day:0 Time:11:05 Completed on M3 %1.02
Day:0 Time:11:06 Completed on M3 %1.01
Day:0 Time:11:07 Completed on M3 %1.02
Day:0 Time:11:08 Completed on M3 %1.01
Day:0 Time:11:09 Completed on M3 %1.02
Day:0 Time:11:10 Completed on M3 %1.01
Day:0 Time:11:11 Completed on M3 %1.02
Day:0 Time:11:12 Completed on M3 %1.01
Day:0 Time:11:13 Completed on M3 %1.02
Day:0 Time:11:14 Completed on M3 %1.01
Day:0 Time:11:15 Completed on M3 %1.02
Day:0 Time:11:16 Completed on M3 %1.02
Day:0 Time:11:17 Completed on M3 %1.02
Day:0 Time:11:18 Completed on M3 %1.02
Day:0 Time:11:19 Completed on M3 %1.02
Day:0 Time:11:20 Completed on M3 %1.01
Day:0 Time:11:21 Completed on M3 %1.01
Day:0 Time:11:22 Completed on M3 %1.02
Day:0 Time:11:23 Completed on M3 %1.01
Day:0 Time:11:24 Completed on M3 %1.01
Day:0 Time:11:25 Completed on M3 %1.02
Day:0 Time:11:26 Completed on M3 %1.01
Day:0 Time:11:27 Completed on M3 %1.02
Day:0 Time:11:28 Completed on M3 %1.02
Day:0 Time:11:29 Completed on M3 %1.02
Day:0 Time:11:30 Completed on M3 %1.02
Day:0 Time:11:31 Completed on M3 %1.02
Day:0 Time:11:32 Completed on M3 %1.02
Day:0 Time:11:33 Completed on M3 %1.02
Day:0 Time:11:34 Added to M3 %0.92
 Day:0 Time:11:35 Completed:M3 parcel
 Day:0 Time:11:36 seletced:M4 ,time when there:Day:0 Time:11:36 time to travel:1
 Connection(from:M3 to:M4): Direct connection distance:92.0m
Day:0 Time:11:36 Completed on M4 %2.16
Day:0 Time:11:37 Completed on M4 %2.16
Day:0 Time:11:38 Completed on M4 %2.15
Day:0 Time:11:39 Completed on M4 %2.16
