0    2012-06-23 20:57:06,554 [main] INFO  main.MainFrame  - APPLICATION Started
515206 2012-06-23 21:05:41,760 [AWT-EventQueue-0] INFO  control.Control2  - [F1.6]'Add' selected from plant operation combobox
515212 2012-06-23 21:05:41,766 [AWT-EventQueue-0] INFO  control.Control2  - Select selected from plant operation combobox
517223 2012-06-23 21:05:43,777 [AWT-EventQueue-0] INFO  control.Control2  - Manuring selected from plant operation combobox
518027 2012-06-23 21:05:44,581 [AWT-EventQueue-0] INFO  control.Control2  - [F1.6] Manuring operation assigned to plant uncultivated
518027 2012-06-23 21:05:44,581 [AWT-EventQueue-0] INFO  control.Control2  - [F1.6]OK button pushed with operation Add for action Manuring selected plant:uncultivated
524350 2012-06-23 21:05:50,904 [AWT-EventQueue-0] INFO  control.Control2  - [F1.6]'Add' selected from plant operation combobox
524357 2012-06-23 21:05:50,911 [AWT-EventQueue-0] INFO  control.Control2  - Select selected from plant operation combobox
525654 2012-06-23 21:05:52,208 [AWT-EventQueue-0] INFO  control.Control2  - Manuring selected from plant operation combobox
526405 2012-06-23 21:05:52,959 [AWT-EventQueue-0] INFO  control.Control2  - [F1.6] Manuring operation assigned to plant PioneerGrain
526405 2012-06-23 21:05:52,959 [AWT-EventQueue-0] INFO  control.Control2  - [F1.6]OK button pushed with operation Add for action Manuring selected plant:PioneerGrain
535839 2012-06-23 21:06:02,393 [AWT-EventQueue-0] INFO  control.Control2  - Action perforemed on machines menu item
537758 2012-06-23 21:06:04,312 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] New machine button pressed
613261 2012-06-23 21:07:19,815 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] Confirm machine insert button pressed
613275 2012-06-23 21:07:19,829 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] Machine inserted with name 1 type tractor speed km/h 23 work speed ha/h 12.0
635806 2012-06-23 21:07:42,360 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] New machine button pressed
650893 2012-06-23 21:07:57,447 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] Confirm machine insert button pressed
650908 2012-06-23 21:07:57,462 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] Machine inserted with name 2 type Harvester speed km/h 23 work speed ha/h 12.0
651862 2012-06-23 21:07:58,416 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] New machine button pressed
656365 2012-06-23 21:08:02,919 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] Confirm machine insert button pressed
656376 2012-06-23 21:08:02,930 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] Machine inserted with name 3 type Harvester speed km/h 23 work speed ha/h 12.0
656989 2012-06-23 21:08:03,543 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] New machine button pressed
659581 2012-06-23 21:08:06,135 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] Confirm machine insert button pressed
659592 2012-06-23 21:08:06,146 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] Machine inserted with name 4 type Harvester speed km/h 23 work speed ha/h 12.0
660365 2012-06-23 21:08:06,919 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] New machine button pressed
661599 2012-06-23 21:08:08,153 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] Confirm machine insert button pressed
661605 2012-06-23 21:08:08,159 [AWT-EventQueue-0] ERROR dao.jdbc.MachinesJdbcDAO  - Duplicate entry '4' for key 'PRIMARY'
661605 2012-06-23 21:08:08,159 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] Unsuccessful Machine insert due to DbException dao.jdbc.DbException: Error inserting machines!
663477 2012-06-23 21:08:10,031 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] New machine button pressed
665845 2012-06-23 21:08:12,399 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] Confirm machine insert button pressed
665856 2012-06-23 21:08:12,410 [AWT-EventQueue-0] INFO  control.Control2  - [F1.3] Machine inserted with name 5 type Harvester speed km/h 23 work speed ha/h 12.0
679139 2012-06-23 21:08:25,693 [AWT-EventQueue-0] INFO  control.Control2  - [F1.5]Action on machine Operation combobox Add selected 
686788 2012-06-23 21:08:33,342 [AWT-EventQueue-0] INFO  control.Control2  - [F1.5]Action on machine Operation combobox Add selected 
699708 2012-06-23 21:08:46,262 [AWT-EventQueue-0] INFO  control.Control2  - Manuring selected from machine operation combobox
704039 2012-06-23 21:08:50,593 [AWT-EventQueue-0] INFO  control.Control2  - [F1.5] Manuring operation can be performed by machine type Harvester
704039 2012-06-23 21:08:50,593 [AWT-EventQueue-0] INFO  control.Control2  - [F1.5]OK button pushed with operation Manuring for action Add selected machine:Harvester
706099 2012-06-23 21:08:52,653 [AWT-EventQueue-0] INFO  control.Control2  - [F1.5]Action on machine Operation combobox Add selected 
708957 2012-06-23 21:08:55,511 [AWT-EventQueue-0] INFO  control.Control2  - Manuring selected from machine operation combobox
709926 2012-06-23 21:08:56,480 [AWT-EventQueue-0] ERROR dao.jdbc.OperationsJdbcDAO  - Duplicate entry '17-Harvester' for key 'PRIMARY'
709926 2012-06-23 21:08:56,480 [AWT-EventQueue-0] INFO  control.Control2  - [F1.5] Unsuccessful assigning of operation to machine due to dao.jdbc.DbException: Data acces error!
711017 2012-06-23 21:08:57,571 [AWT-EventQueue-0] INFO  control.Control2  - [F1.5]OK button pushed with operation Manuring for action Add selected machine:Harvester
714002 2012-06-23 21:09:00,556 [AWT-EventQueue-0] INFO  control.Control2  - [F1.5]Action on machine Operation combobox Add selected 
716260 2012-06-23 21:09:02,814 [AWT-EventQueue-0] INFO  control.Control2  - Manuring selected from machine operation combobox
716839 2012-06-23 21:09:03,393 [AWT-EventQueue-0] INFO  control.Control2  - [F1.5] Manuring operation can be performed by machine type tractor
716839 2012-06-23 21:09:03,393 [AWT-EventQueue-0] INFO  control.Control2  - [F1.5]OK button pushed with operation Manuring for action Add selected machine:tractor
723373 2012-06-23 21:09:09,927 [AWT-EventQueue-0] INFO  control.Control2  - Action perforemed on bases menu item
741701 2012-06-23 21:09:28,255 [AWT-EventQueue-0] INFO  control.Control2  - Action perforemed on simulation menu item
